ID, Temp C
791,25.39
792,25.39
793,24.9
794,25.39
795,24.9
796,25.39
797,25.39
798,25.39
799,25.39
800,25.39
801,25.39
802,24.9
803,24.9
804,25.39
805,24.9
806,24.9
807,24.9
808,24.9
809,24.9
810,25.39
811,24.9
812,24.9
813,24.9
814,24.9
815,24.9
816,24.9
817,24.9
818,24.9
819,24.9
820,24.9
821,24.9
822,24.9
823,24.9
824,24.9
825,24.9
826,24.9
827,24.9
828,24.9
829,24.9
830,24.9
831,24.9
832,24.9
833,24.9
834,25.39
835,24.9
836,24.9
837,24.9
838,24.9
839,25.39
840,25.39
841,24.9
842,24.9
843,24.9
844,24.9
845,24.9
846,25.39
847,24.9
848,25.39
849,24.9
850,24.9
851,24.9
852,24.9
853,24.9
854,25.39
855,24.9
856,24.9
857,24.9
858,24.9
859,24.9
860,24.9
861,24.9
862,24.9
863,24.9
864,25.39
865,24.9
866,24.9
867,24.9
868,24.9
869,24.9
870,24.9
871,24.9
872,24.9
873,24.9
874,24.9
875,24.9
876,24.9
877,24.9
878,24.9
879,24.9
880,24.9
881,24.9
882,24.9
883,24.9
884,24.9
885,25.39
886,24.9
887,24.9
888,24.9
889,25.39
890,24.9
891,24.9
892,25.39
893,24.9
894,24.9
895,24.9
896,24.9
